{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.0, 'pad_onset': 0.0, 'filter_speech_first': True}, {'DetER (%)': 13.3393127818669, 'FA (%)': 0.8200001642404181, 'MISS (%)': 12.51931261762648}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.0, 'pad_onset': 0.1, 'filter_speech_first': True}, {'DetER (%)': 11.575195069749105, 'FA (%)': 1.0847074819794933, 'MISS (%)': 10.49048758776961}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.0, 'pad_onset': 0.2, 'filter_speech_first': True}, {'DetER (%)': 10.464546844001257, 'FA (%)': 1.6191493363523783, 'MISS (%)': 8.845397507648878}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.0, 'pad_onset': 0.3, 'filter_speech_first': True}, {'DetER (%)': 9.709933401063006, 'FA (%)': 2.2957736407319125, 'MISS (%)': 7.414159760331093}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.0, 'pad_onset': 0.4, 'filter_speech_first': True}, {'DetER (%)': 9.153438178615323, 'FA (%)': 3.0223144790699936, 'MISS (%)': 6.131123699545328}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.1, 'pad_onset': 0.0, 'filter_speech_first': True}, {'DetER (%)': 11.804964285204239, 'FA (%)': 1.1998479681828327, 'MISS (%)': 10.605116317021407}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.1, 'pad_onset': 0.1, 'filter_speech_first': True}, {'DetER (%)': 10.147205116885283, 'FA (%)': 1.4608313689851453, 'MISS (%)': 8.686373747900138}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.1, 'pad_onset': 0.2, 'filter_speech_first': True}, {'DetER (%)': 9.097618047730037, 'FA (%)': 1.989965066909508, 'MISS (%)': 7.1076529808205295}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.1, 'pad_onset': 0.3, 'filter_speech_first': True}, {'DetER (%)': 8.419241447086046, 'FA (%)': 2.6555546407586985, 'MISS (%)': 5.763686806327347}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.1, 'pad_onset': 0.4, 'filter_speech_first': True}, {'DetER (%)': 7.949135671935988, 'FA (%)': 3.3685716234476324, 'MISS (%)': 4.580564048488355}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.2, 'pad_onset': 0.0, 'filter_speech_first': True}, {'DetER (%)': 10.73814852514634, 'FA (%)': 1.7565523994472, 'MISS (%)': 8.98159612569914}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.2, 'pad_onset': 0.1, 'filter_speech_first': True}, {'DetER (%)': 9.144478983466133, 'FA (%)': 2.013745442270931, 'MISS (%)': 7.130733541195202}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.2, 'pad_onset': 0.2, 'filter_speech_first': True}, {'DetER (%)': 8.172727939603854, 'FA (%)': 2.532643311464912, 'MISS (%)': 5.640084628138942}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.2, 'pad_onset': 0.3, 'filter_speech_first': True}, {'DetER (%)': 7.578207980176961, 'FA (%)': 3.1834494086687495, 'MISS (%)': 4.394758571508212}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.2, 'pad_onset': 0.4, 'filter_speech_first': True}, {'DetER (%)': 7.275380746942013, 'FA (%)': 3.8704601261467344, 'MISS (%)': 3.4049206207952794}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.3, 'pad_onset': 0.0, 'filter_speech_first': True}, {'DetER (%)': 9.946278900255392, 'FA (%)': 2.4148943821473874, 'MISS (%)': 7.531384518108004}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.3, 'pad_onset': 0.1, 'filter_speech_first': True}, {'DetER (%)': 8.439139044749929, 'FA (%)': 2.6661992313309293, 'MISS (%)': 5.772939813419001}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.3, 'pad_onset': 0.2, 'filter_speech_first': True}, {'DetER (%)': 7.554401166338673, 'FA (%)': 3.171892345796108, 'MISS (%)': 4.382508820542565}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.3, 'pad_onset': 0.3, 'filter_speech_first': True}, {'DetER (%)': 7.119879052106935, 'FA (%)': 3.793054703176507, 'MISS (%)': 3.3268243489304283}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.7, 'pad_offset': 0.3, 'pad_onset': 0.4, 'filter_speech_first': True}, {'DetER (%)': 7.052121144282656, 'FA (%)': 4.437989159525608, 'MISS (%)': 2.6141319847570483}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.0, 'pad_onset': 0.0, 'filter_speech_first': True}, {'DetER (%)': 13.850418197389311, 'FA (%)': 0.7315349516617679, 'MISS (%)': 13.118883245727543}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.0, 'pad_onset': 0.1, 'filter_speech_first': True}, {'DetER (%)': 12.00978822301861, 'FA (%)': 0.9360280636660858, 'MISS (%)': 11.073760159352524}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.0, 'pad_onset': 0.2, 'filter_speech_first': True}, {'DetER (%)': 10.799807191315292, 'FA (%)': 1.415160624506054, 'MISS (%)': 9.384646566809238}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.0, 'pad_onset': 0.3, 'filter_speech_first': True}, {'DetER (%)': 9.960608324798597, 'FA (%)': 2.050464808194092, 'MISS (%)': 7.910143516604506}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.0, 'pad_onset': 0.4, 'filter_speech_first': True}, {'DetER (%)': 9.327780391840651, 'FA (%)': 2.747398460776718, 'MISS (%)': 6.580381931063932}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.1, 'pad_onset': 0.0, 'filter_speech_first': True}, {'DetER (%)': 12.32635150941677, 'FA (%)': 1.0945281116737775, 'MISS (%)': 11.231823397742994}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.1, 'pad_onset': 0.1, 'filter_speech_first': True}, {'DetER (%)': 10.563631358174293, 'FA (%)': 1.2974165230842716, 'MISS (%)': 9.266214835090022}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.1, 'pad_onset': 0.2, 'filter_speech_first': True}, {'DetER (%)': 9.405083049600936, 'FA (%)': 1.7730605843811797, 'MISS (%)': 7.632022465219756}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.1, 'pad_onset': 0.3, 'filter_speech_first': True}, {'DetER (%)': 8.63260501291727, 'FA (%)': 2.4001515977663592, 'MISS (%)': 6.2324534151509114}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.1, 'pad_onset': 0.4, 'filter_speech_first': True}, {'DetER (%)': 8.07896836456463, 'FA (%)': 3.0845814601059347, 'MISS (%)': 4.994386904458695}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.2, 'pad_onset': 0.0, 'filter_speech_first': True}, {'DetER (%)': 11.236759576317457, 'FA (%)': 1.6341992668642629, 'MISS (%)': 9.602560309453192}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.2, 'pad_onset': 0.1, 'filter_speech_first': True}, {'DetER (%)': 9.528964326144754, 'FA (%)': 1.835341359405025, 'MISS (%)': 7.693622966739729}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.2, 'pad_onset': 0.2, 'filter_speech_first': True}, {'DetER (%)': 8.438982482987093, 'FA (%)': 2.3036916196934416, 'MISS (%)': 6.135290863293652}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.2, 'pad_onset': 0.3, 'filter_speech_first': True}, {'DetER (%)': 7.744431052117001, 'FA (%)': 2.917652135984769, 'MISS (%)': 4.826778916132232}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.2, 'pad_onset': 0.4, 'filter_speech_first': True}, {'DetER (%)': 7.354483979924506, 'FA (%)': 3.5789963801541105, 'MISS (%)': 3.7754875997703965}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.3, 'pad_onset': 0.0, 'filter_speech_first': True}, {'DetER (%)': 10.406748885149199, 'FA (%)': 2.2744435374233207, 'MISS (%)': 8.132305347725879}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.3, 'pad_onset': 0.1, 'filter_speech_first': True}, {'DetER (%)': 8.775144497311047, 'FA (%)': 2.472108855310792, 'MISS (%)': 6.303035642000253}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.3, 'pad_onset': 0.2, 'filter_speech_first': True}, {'DetER (%)': 7.768365920143045, 'FA (%)': 2.9299747651865267, 'MISS (%)': 4.8383911549565175}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.3, 'pad_onset': 0.3, 'filter_speech_first': True}, {'DetER (%)': 7.231081584661039, 'FA (%)': 3.5176400322201817, 'MISS (%)': 3.713441552440857}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.8, 'pad_offset': 0.3, 'pad_onset': 0.4, 'filter_speech_first': True}, {'DetER (%)': 7.085472708056955, 'FA (%)': 4.137904400987489, 'MISS (%)': 2.947568307069466}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.9, 'pad_offset': 0.0, 'pad_onset': 0.0, 'filter_speech_first': True}, {'DetER (%)': 14.549821433607873, 'FA (%)': 0.6373912140591792, 'MISS (%)': 13.912430219548694}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.9, 'pad_offset': 0.0, 'pad_onset': 0.1, 'filter_speech_first': True}, {'DetER (%)': 12.61664506543482, 'FA (%)': 0.7764582918958103, 'MISS (%)': 11.840186773539012}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.9, 'pad_offset': 0.0, 'pad_onset': 0.2, 'filter_speech_first': True}, {'DetER (%)': 11.290329677874368, 'FA (%)': 1.1837678566736807, 'MISS (%)': 10.106561821200687}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.9, 'pad_offset': 0.0, 'pad_onset': 0.3, 'filter_speech_first': True}, {'DetER (%)': 10.355177072641194, 'FA (%)': 1.7599128448024666, 'MISS (%)': 8.59526422783873}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.9, 'pad_offset': 0.0, 'pad_onset': 0.4, 'filter_speech_first': True}, {'DetER (%)': 9.645154994627813, 'FA (%)': 2.4129344863648026, 'MISS (%)': 7.23222050826301}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.9, 'pad_offset': 0.1, 'pad_onset': 0.0, 'filter_speech_first': True}, {'DetER (%)': 13.030355500403687, 'FA (%)': 0.9834671973955699, 'MISS (%)': 12.046888303008119}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.9, 'pad_offset': 0.1, 'pad_onset': 0.1, 'filter_speech_first': True}, {'DetER (%)': 11.164629664024318, 'FA (%)': 1.1212695964404198, 'MISS (%)': 10.043360067583897}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.9, 'pad_offset': 0.1, 'pad_onset': 0.2, 'filter_speech_first': True}, {'DetER (%)': 9.886331608186637, 'FA (%)': 1.5258440433150489, 'MISS (%)': 8.360487564871589}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.9, 'pad_offset': 0.1, 'pad_onset': 0.3, 'filter_speech_first': True}, {'DetER (%)': 9.010960537267392, 'FA (%)': 2.0961739459395528, 'MISS (%)': 6.9147865913278395}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.9, 'pad_offset': 0.1, 'pad_onset': 0.4, 'filter_speech_first': True}, {'DetER (%)': 8.37197611760426, 'FA (%)': 2.738823887990523, 'MISS (%)': 5.6331522296137395}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.9, 'pad_offset': 0.2, 'pad_onset': 0.0, 'filter_speech_first': True}, {'DetER (%)': 11.929157535774666, 'FA (%)': 1.5036885997297098, 'MISS (%)': 10.425468936044958}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.9, 'pad_offset': 0.2, 'pad_onset': 0.1, 'filter_speech_first': True}, {'DetER (%)': 10.11513869298487, 'FA (%)': 1.6405936998608663, 'MISS (%)': 8.474544993124002}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.9, 'pad_offset': 0.2, 'pad_onset': 0.2, 'filter_speech_first': True}, {'DetER (%)': 8.897974212176342, 'FA (%)': 2.040036553332275, 'MISS (%)': 6.857937658844067}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.9, 'pad_offset': 0.2, 'pad_onset': 0.3, 'filter_speech_first': True}, {'DetER (%)': 8.093794142772957, 'FA (%)': 2.6000678645813515, 'MISS (%)': 5.493726278191605}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.9, 'pad_offset': 0.2, 'pad_onset': 0.4, 'filter_speech_first': True}, {'DetER (%)': 7.597591521891283, 'FA (%)': 3.223408982352488, 'MISS (%)': 4.374182539538793}
